,,,Wall time,Step,Value
1588935140.24001,3606,361.489532470703,,,
1588935714.91538,3624,39.5614547729492,,,
1588935781.96614,3626,365.223022460937,,,
1588935848.89443,3628,370.048828125,,,
1588936049.66012,3634,368.058868408203,,,
1588936986.77379,3662,357.927612304687,,,
1588937455.35655,3676,363.520538330078,,,
1588939329.68666,3732,368.715576171875,,,
1588939463.60653,3736,356.064575195313,,,
1588939831.92811,3747,374.393341064453,,,
1588940869.6672,3778,353.023498535156,,,
1588941134.52304,3786,370.320007324219,,,
1588941569.5677,3799,357.938842773437,,,
1588941736.80315,3804,368.291473388672,,,
1588942272.02605,3820,375.030120849609,,,
1588942439.4264,3825,357.746643066406,,,
1588942506.36671,3827,355.8125,,,
1588942840.72412,3837,375.184448242187,,,
1588943951.09686,3870,369.173706054687,,,
1588944309.93807,3882,357.655334472656,,,
1588946050.38549,3934,360.651763916016,,,
1588946418.60409,3945,359.445770263672,,,
1588946988.03156,3962,377.711853027344,,,
1588947885.79199,3990,377.788848876953,,,
1588949129.88183,4028,365.8232421875,,,
1588949498.11162,4039,383.110778808594,,,
1588949598.54283,4042,382.177764892578,,,
1588951475.78255,4099,387.036499023437,,,
1588951643.17135,4104,378.478271484375,,,
1588952011.19293,4115,357.501312255859,,,
1588954389.6035,4188,364.889678955078,,,
1588954756.59606,4199,378.657562255859,,,
1588954790.03361,4200,365.419738769531,,,
1588954856.84543,4202,367.268463134766,,,
1588955023.83916,4207,376.104278564453,,,
1588955057.2555,4208,381.715576171875,,,
1588955891.88371,4233,365.629364013672,,,
1588956058.82835,4238,387.786590576172,,,
1588956158.97194,4241,363.82373046875,,,
1588956426.04089,4249,366.44384765625,,,
1588957094.18503,4269,377.357696533203,,,
1588957194.35693,4272,375.87158203125,,,
1588957227.76981,4273,379.654174804687,,,
1588957699.25406,4288,377.402526855469,,,
1588958423.18894,4310,379.594604492187,,,
1588958857.43751,4323,385.497802734375,,,
1588958924.15574,4325,378.825592041016,,,
1588960560.31136,4375,46.2567138671875,,,
1588961327.3131,4399,381.952697753906,,,
1588961550.64796,4406,247.389282226563,,,
1588961723.33308,4412,370.599945068359,,,
1588962480.62527,4436,372.839263916016,,,
1588962580.78368,4439,371.611297607422,,,
1588964425.27918,4498,375.208892822266,,,
1588964950.87087,4515,230.564910888672,,,
1588965613.47087,4536,375.189910888672,,,
1588965713.60102,4539,381.721466064453,,,
1588967185.89842,4584,384.921508789062,,,
1588967286.05972,4587,389.325836181641,,,
1588967820.1514,4603,374.149719238281,,,
1588968837.3758,4634,374.881622314453,,,
1588969771.93653,4662,366.344635009766,,,
1588970038.96024,4670,398.138977050781,,,
1588970172.46768,4674,375.461242675781,,,
1588970439.29937,4682,390.892791748047,,,
1588970775.77078,4693,382.326477050781,,,
1588971614.10976,4719,377.422882080078,,,
1588971781.05422,4724,397.962768554688,,,
1588972314.97298,4740,396.089233398438,,,
1588972848.89304,4756,377.607940673828,,,
1588973085.55906,4764,408.218383789063,,,
1588973386.43304,4773,388.757110595703,,,
1588974054.36096,4793,383.375305175781,,,
1588974087.749,4794,362.030426025391,,,
1588974488.2113,4806,384.699096679687,,,
1588974554.95936,4808,396.076324462891,,,
1588975823.74117,4846,406.110382080078,,,
1588976224.11113,4858,388.505401611328,,,
1588976829.93458,4877,387.432830810547,,,
1588977598.24876,4900,380.232543945312,,,
1588978266.13783,4920,400.430053710938,,,
1588979837.30146,4968,393.164764404297,,,
1588980137.91073,4977,380.54345703125,,,
1588980238.03307,4980,399.437957763672,,,
1588982110.72274,5036,379.219909667969,,,
1588982778.78906,5056,386.144622802734,,,
1588982845.43135,5058,384.311370849609,,,
1588982878.82758,5059,395.144165039062,,,
1588984648.28554,5112,387.735198974609,,,
1588985316.1003,5132,379.6533203125,,,
1588985583.21463,5140,402.558807373047,,,
1588986540.29606,5171,382.272491455078,,,
1588987108.13253,5188,378.817108154297,,,
1588987709.49485,5206,405.899963378906,,,
1588987976.97564,5214,404.258575439453,,,
1588989012.47526,5245,403.231719970703,,,
1588990683.51298,5295,403.071990966797,,,
1588991651.91299,5324,387.222229003906,,,
1588992019.54449,5335,374.525207519531,,,
1588992521.51695,5351,388.885833740234,,,
1588992988.8421,5365,389.234436035156,,,
